Company Name and Designation,Project Title,Problem Statement,Type of Project,Departments eligible for the project,Program (UG/ PG) and year of study of student,Pre-requisites for the students,Duration of project (in weeks),Tentative start and end dates of the project,Stipend for the Project (per student per month),What will be the city of posting?,Will accommodation be provided?,If the city of posting isn't Mumbai would traveling expenses be covered?,Project Deliverables,Major Takeaways for Students,Can students use the name of your company & designation in their resumes after completing the project?,Will certificates and LoRs be provided to the students on successfully completing the project?
ICAR-Central Institute of Fisheries Education Mumbai,AI in fisheries and climate change modelling,"AI application in fish growth dyanamics, identification and tracking, behaviour analysis, Also   AI application on remote sensed data like  Land use land cover  change prediction, ecosystem valuation and modelling",Institutional project,"Applied Statistics and Informatics, Civil Engineering, Computer Science Engineering, Earth Science, Energy Science Engineering, Environmental Science Engineering, Humanities and Social Sciences, Metallurgical Engineering and Materials Science","3rd year UG, 1st year MSc, 1st year Mtech, 1st year Ph.D","GIS and RS couses, ML and DL courses",  4-8 weeks,from  end of April 2024 to  mid June 2024,NIL,Mumbai,No,No,"Good exposure of AI and ML in fisheries in different dimension , and also application in climate change and ecosystem modelling",Good practical exposure in the said area,Yes,Yes
Samvid AI; Founder and CEO,Produce quality detection from agricultural images using computer vision ,".Samvid is working with growers and agri-tech companies in California to create proprietary
artificial intelligence software that uses generative AI to analyze images of grapevines and fruit to predict yield as well as identify diseases and other things that might impact yield.
Agronomists perform regular audits of vineyards and routinely take pictures of vines and fruits to then estimate yield per acre and if there are any diseases that might impact yield. This information is valuable for the grower to estimate potential revenue at the end of the season and understand how they can improve yield.
The Phase-1 objectives and deliverables of this program are to create the software and models to identify diseases by analyzing an uploaded image. The initial training dataset needs to be collected from government / USDA / NIH data sources and train the model.
Phase-2 objective is to count the fruit and estimate yield per acre.
The program will require an understanding of Generative AI and Python.",ML & Supply Chain Management,ANY BRANCH,"3rd year UG, 1st year MSc, 1st year Mtech, 1st year Ph.D",Basic coding ability; some familiarity with machine learning algorithms,8,"May 1, 2024 to June 30, 2024",$200,Remote,No,No,Working programming functions preferably in Python that execute key ML tasks ,Applying AI to solving challengine real world problems in an important industry such as agritech,Yes,Yes
Cognizant - Software Engineer,Unified shopping application for retailers and customers,"The ever increasing consumer sector and demand for products and services which defies the border mechanism calls out for possessing an online presence of the outlets to ensure outreach and convenience. It also enables customers to resort to a one stop destination for all the products and services needed. It also enables retailers to own a physical shop and at the same time coexist in the digital world to sell the products and services. It would enable retailers to build a digital shop, label the shops based on the the products and services sold. Consumers can later search the shop, from the provided labels of shops to explore it and proceed with the shopping.",Software product development,ANY BRANCH,"2nd year UG, 1st year Mtech",Should have demonstrated programming skills via academics and projects,6,23rd March,15000,Remote,No,No,"Working model of project that is testable, deployable and scalable",You get to learn to build a software product from scratch and how to make your software product become a crucial part of the already existing business process,No,Yes
"Magyk Inc, Founder & CEO",Magyk AI Full Stack Engineering,"Magyk.AI is developing a deep AI stack that helps solve multiple content marketing problems for small and medium businesses. Magyk is serving a global customer base. Your job as the intern will be to implement chat and conventional based interfaces to this AI that enables users to interface very easily with these AI technologies. 

Specifically we will be focused on Discord and Telegram based engineering of a bunch of AI features. ",Software Engineering - Full Stack,ANY BRANCH,"3rd year UG, 1st year MSc, 1st year Mtech, 1st year Ph.D",Strong Python and Typescript skills. ,8-12 weeks,May 1 -- August 1 (flexible),"Rs 50,000 + performance bonus",Fully Remote,No,No,Various AI components integrated into Discord chat and Telegram chat. ,Strong B2B and B2c engineering & product insights. Working closely with a team of former IITians who have strong corporate experience and start-up unicorn founder. Mentoring from phenomenal AI engineers. Global customer product development. LinkedIn and graduate school recommendations for strong performers from a Computer Science Ph.D. founder. ,Yes,Yes
"Magyk Inc, Founder & CEO",Magyk AI Prompt Engineering,"Magyk.AI is developing a deep AI stack that helps solve multiple content marketing problems for small and medium businesses. Magyk is serving a global customer base. Your job as the intern will be to do prompt engineering on models such as OpenAI (text and image), Stability Diffusion and others to solve specific identified business problems in marketing via social media, search and video. 

One project involves deep engineering of Short Video generation and the other involves deep engineering around social media and search engines. 
",Software Engineering - AI,ANY BRANCH,"3rd year UG, 1st year MSc, 1st year Mtech, 1st year Ph.D",Python and Typescript. AI related project experience. ,8-12 weeks. ,May 1 - August 1 (flexible),Rs 75000 plus performance bonus,Fully Remote,No,No,Component that enhances a video generation software we are building with various confidential features. ,"Strong B2B and B2c engineering & product insights. Working closely with a team of former IITians who have strong corporate experience and start-up unicorn founder. Mentoring from phenomenal AI engineers. Global customer product development. LinkedIn and graduate school recommendations for strong performers from a Computer Science Ph.D. founder. 
",Yes,Yes
Tara Capital Partners - Quant Research Analyst,Cryptocurreny Trading Infrastructure Development and Quantitative Research,This is an exciting opportunity to join a personal project focused on leveraging quantitative analysis within the cryptocurrency market. This project aims to primarily develop infrastructure needed and later innovate trading strategies to capitalize on the volatile crypto markets. A passionate and driven Quantitative Developer Intern can contribute to the mission of decoding the complexities of cryptocurrency trading through advanced quantitative techniques. The ideal candidate should be a good coder with hands-on experience in Python with basic understanding of statistics. ,Quant Development,ANY BRANCH,2nd year UG,"Python, C++ and basic statistics",8,10th May 2024,22000,Remote,No,No,"1. Development and automation of infrastructure to procure historical data 
2. Development of infrastructure to backtest trading strategies
3. Development of infrastructure to receive live data feed from exchange and sending orders 
4. Development of paper trading paper trading setup 
5. Development of slippage analysis tool to monitor live trades (optional)
6. Improvement in trading strategies using various classification models (optional) ","1. This project will take the student through all the components required to develop a mid-frequency trading setup. 
2. This project will help the student understand how to build reliable systems.",No,"No, this is a self-project not sponsored by the company. "
"Scientific Officer, Bhabha Atomic Research Centre",Probability distributions for groundwater fluoride contamination in India,"This project will involve development of probability distribution functions for fluoride contamination in groundwater, in India. For this purpose, data will have to be generated from extensive review of literature. The outcome of the project will be probability distribution across different spatial scales, and their parameters, along with quantified uncertainties. ",Research,ANY BRANCH,"3rd year UG, 1st year MSc, 1st year Mtech, 1st year Ph.D", ,6 (flexible),Start: 3rd May; End: 14th June (flexible),Nil,Online,No,No,"The outcome of the project will be probability distribution across different spatial scales, and their parameters, along with quantified uncertainties. ",Research methodology; Extraction of data from literature; Estimating parameters of probability distribution functions considering uncertainties; Report writing; Research article (journal / conference) writing;,Yes,Yes
"Sceintific Officer, Bhabha Atomic Research Centre",Soft computing approaches for modeling concrete properties under uncertainties,"Soft computing or machine learning (ML) approaches have been quite successful in modeling many concrete properties. By and large, consideration of uncertain inputs have not been adequately examined in literature. This project would attempt to evaluate few ML approaches under conditions of uncertain inputs.",Research,"Civil Engineering, Computer Science Engineering, Industrial Engineering and Operations Research","3rd year UG, 1st year MSc, 1st year Mtech, 1st year Ph.D",Machine learning; Basics of proability and statistics; Coding in Matlab/Python/other; Concrete Technology.,6 (flexible),Start: 3rd May; End: 14th June,Nil,Online,No,No,"A methodology to develop ML models for predicting concrete properties, considering uncertainties",Research methodology; Developing ML models for concrete properties considering uncertainties; Report writing; Research article (journal / conference) writing;,Yes,Yes
LEX Res Data Science & Analytics,360 degree data ecosystem design and pipelining,We have a current cloud based db that needs to expand and include elements that will make it a central point for products that have to be built on it ,"Ai/ml, database creation","Applied Statistics and Informatics, Computer Science Engineering, Electrical Engineering, Industrial Engineering and Operations Research","2nd year UG, ",Experience on cloud (GCP) and any database project done,6,Anytime intern available ,7000,Remote ,No,No,Working database prototype and procedural codes in python ,Database designing and working on/with publically available info to structure it for easy retrieval ,Yes,Yes
DimeAI,Civic taxes leakage and fraud detection,Civic taxes contribute 1.3% of India GDP and potential having about 30% leakage . By using AI and modelling techniques these leakages can be reduce significantly ,AI and data science ,Computer Science Engineering,"2nd year UG, 3rd year UG, 1st year Mtech","Should have good understanding of statistics, non linear question solution, optimization techniques ",2,1Apr 2024,It is pre money start up so it is good for learning ,Mumbai ,No,Yes,AI Model,This will give immense value to learning in AI field,Yes,Yes
"OSI Digital, Technical Lead",DigitalVUE - Next Generation Infrastructure Monitoring,We are building novel ITSM tool that is better customized to user needs and utilizes novel advancements in ML and LLMs,"Software, Product, Startup",Computer Science Engineering,"3rd year UG, 1st year Mtech, 1st year Ph.D","Python, React, Django",10,Negotiable,Negotiable,Hyderabad,No,Yes,"Completing specific iterations of DigitalVUE product - tickets, monitoring and notifications ","Skillset advancement in latest technologies. Working in a fast-paced, well-funded environment with international collaboration",Yes,Yes
"OSI Digital, Technical Lead",DigitalVUE - Next Generation Infrastructure Monitoring,We are building novel ITSM tool that is better customized to user needs and utilizes novel advancements in ML and LLMs,"Software, Product, Startup",Computer Science Engineering,"3rd year UG, 1st year Mtech, 1st year Ph.D","Python, React, Django",10,Flexible,Negotiable,Hyderabad,No,No,"Completing specific iterations of DigitalVUE product - tickets, monitoring and notifications ","Skillset advancement in latest technologies. Working in a fast-paced, well-funded environment with international collaboration",Yes,Yes
"VIT vellore, senior Assistant Professor ",Devlope ML model to predict cardiac arrest in adolescents , This project  related to development of ML model  for prediction  of cardiac arrest ,Software ,Computer Science Engineering,"2nd year UG, 3rd year UG, 1st year MSc, 1st year Mtech",Ml and python,8,20 march to 3 rd may,Nil,Online,No,No,Paper,Will contribute  for the society problem,Yes,Yes
"Gharda Institute of Technology Khed, Ratnagiri (affiliated to University of Mumbai) -  Professor and Dean (Academics)","Flow, Segregation and clogging of non-spherical particles in 3D Silo","The mixture of flow of non-spherical grains/particles from silos is extensively observed in
various industries. Segregation during flow due to difference in size, shape and density is
very common. Depending on the size of the orifice, materials also clogged during flow
which affects the overall flow of the particles. In this project, focus is on to study flow,
segregation and clogging of non-spherical grains during discharge in three dimensional
silos through orifice. The flow rate will be measured for various parameters such as orifice
diameter (D), mass fraction of small and large particles (χ), and shape of particles (e.g.rice and moong daal). In the past, researchers observed that when small particles (fine) added  into the mixture of large particles flow rate is increased and clogging is also reduced. Segregation during discharge can also be measured by calculating amount of small and large particles at the start of the experiments and in the end by collecting sample of mixture. We can also measured clogging point (χ clog) for different orifice. In the end we can compared experimental results with existing model (BEVERLOO) for mono-sized particles and binary mixture.",Experimental as well as Simulation (Discrete Element Method-DEM),Chemical Engineering,"2nd year UG, 3rd year UG, 1st year Mtech","Basic Chemical Engineering Knowledge - Fluid Mechanics, Solid-fluid operations ",8-10 weeks,1st week of May 2024 to 15th July 2024,Not possible (Project is not funded hence we can not provide stipend),Khed - Ratnagiri (Maharashtra),Yes,No,"Design of Experiments, Report preparation, Research/Review paper writing, ","How to conduct and plan the experiments, DEM Simulation, Research paper writing",Yes,Yes
"Xtreme Media, Director ",LED Videowall and Digital Signage,Design and manufacturing of the modules of LED videowall display in India along with the control and monitoring software.,"Hardware Development, Software Development, IoT","Computer Science Engineering, Electrical Engineering, Industrial Design Centre, Industrial Engineering and Operations Research, Mechanical Engineering, Electronics ","3rd year UG, Final year students","Basic electrical, electronics and mechanical skills along software testing knowledge",8,15th March to May end,INR 20K per month,Mumbai,No,No,Enhancements and new feature additions in existing products,"Experience of working on Live projects, R&D training, Product Testing Training",Yes,Yes
"Epifi, Data Scientist",Risk Decisioning based on real time events,Using real time app events make decisions on risk and credit risk for a neobank.,ML engineering / Data Science,"Aerospace Engineering, Applied Statistics and Informatics, Biosciences and Bioengineering, Chemical Engineering, Civil Engineering, Computer Science Engineering, Electrical Engineering, Energy Science Engineering, Environmental Science Engineering, Industrial Engineering and Operations Research, Mathematics, Metallurgical Engineering and Materials Science, Mechanical Engineering","3rd year UG, 1st year MSc, 1st year Mtech, 1st year Ph.D",Data science,12-24,April to Sept,30000,Bangalore,No,Yes,"Trained & deployed ML models, improved metrics, Final report.",Learning in impactful fast paced environment on real world project - can have high impact on company metrics as well.,Yes,Yes
"e-TRNL Energy Pvt. Ltd., CTO",Development of Li-ion cells for EV application,"Present technology of Li-ion cells unable to solve the problem of safety, long charging hours and poor cycle life in Indian tropical whether conditions. Hence a new approach to develop Li-ion cells from scratch is needed. To solve these issues a fundamentally new cell design has been developed. To make the new design market ready new processes to fabricate Li-ion cells has to be develop. It involves material processing, electrode fabrication, cells fabrication, cell testing and data analysis. ",R&D,"Chemical Engineering, Chemistry, Energy Science Engineering, EP/Physics, Metallurgical Engineering and Materials Science","3rd year UG, 1st year MSc, 1st year Mtech, 1st year Ph.D",Good understanding of fundamental laws of Physics and Chemistry,more than 12 weeks,at the earliest,20000,Bangalore,No,No,Optimize the electrode and cell fabrication processes and documentation.,"Understanding of the booming sector of Li-ion batteries and EVs
Understanding the manufacturing processes of Li-ion batteries
Work with a highly qualified team in this field.
Get hands-on experience in cell fabrication testing protocols and data analysis.",Yes,Yes
"e-TRNL Energy pvt. ltd., CTO",Design and development of new equipment for Li-ion battery fabrication,"Present technology of Li-ion cells unable to solve the problem of safety, long charging hours and poor cycle life in Indian tropical whether conditions. Hence a new approach to develop Li-ion cells from scratch is needed. To solve these issues a fundamentally new cell design has been developed. Existing set of equipment are not suitable to develop the new process of cell making. Hence, a new set of equipment need to be designed and developed to fulfill the need of electrode fabrication processes. ",Design and fabrication,Mechanical Engineering,"3rd year UG, 1st year MSc, 1st year Mtech, 1st year Ph.D",Understanding of CAD/CAM and engineering drawing ,minimum of 12 weeks,at the earliest,20000,Bangalore,No,No,Design and fabricate equipment or parts based of the requirement.,"Understanding of the booming sector of Li-ion batteries and EVs
Understanding the manufacturing processes of Li-ion batteries
Work with a highly qualified team in this field.
Get hands-on experience in designing and fabricating parts/equipment using 3D printers and CNC machine
",Yes,Yes
Konar Advertisement ,Cloud computing ,Developing ,Cloud computing ,"Computer Science Engineering, Mathematics, Cloud developer ",2nd year UG,1,4,No,10000,Mumbai ,Yes,Yes,Yes ,Yes ,Yes,Yes
"TCS, Scientist ",Reflective listening for Social Robot,"A social robot should possess good listening skill. Reflective listening is a technique that characterizes a good listener. In this project, we would build an AI system for a social robot so that it can be termed as a good listener. This project involves dataset creation and neural networking training using the dataset.","This is an exploratory project (research), this involves coding and experimentation","Computer Science Engineering, Humanities and Social Sciences","3rd year UG, 1st year Mtech, 1st year Ph.D",Python programming,10 weeks,15 May - 15 July,"25k for MTech, for PhD it is higher",Delhi,No,No,Code and report,Experience on robot programming,Yes,Yes
Dawa.ai,Developer,To Develop the software (frontend/backend/integration) skills requierd,Technical,ANY BRANCH,"2nd year UG, 3rd year UG",Coding skills,10-11 weeks,1st May,5000,Nagpur,Yes,Yes,Software Features,"Learning skills, Certificates, Goodies, Trips, Etc",Yes,Yes
"Zwilling Labs Pvt Ltd., Director",Software development for digital twin platform in manufacturing,"The intern will work to develop modules for a digital twin platform in the manufacturing sector. The work may involve UI/UX dashboard, web development, work on AI/ML models, development of APIs for communication, or database design and  development.",In office (SINE IITB),"Computer Science Engineering, Electrical Engineering, Industrial Engineering and Operations Research, Mechanical Engineering","2nd year UG, 3rd year UG, 1st year Mtech, 1st year Ph.D",Previous experience in coding and software,8-10,10 May 2024 - 15 July 2024,20000,Mumbai,No,Yes,"Bug-free, functional and working code with documentation as per requirements specifications for entrusted module(s).","Working on a major project in an area of upcoming interest projected to have huge impact in industry, working with talented and motivated IIT alumni and faculty, exposure to latest technologies and tools and working in IITB ecosystem.",Yes,Yes
"Khiladipro.com, Head of Engineering",Research and develop a versatile rating system for various sports,"Conduct research to identify optimal rating systems for various sports, develop statistical models to predict player performance, and leverage machine learning techniques to design effective fitness drills for athletes.",ML/AI in Sports domain (Remote),ANY BRANCH,"2nd year UG, 3rd year UG, 1st year MSc, 1st year Mtech, 1st year Ph.D",ML/AI enthusiast and Python,10,5th May to 14th July,We will be committing 25k-50K per student depending on the deliverables.,Bangalore,No,No,"1. Robust rating system which works across all major sports.
2. Models trained and fine tuned for drills across sports.",KhiladiPro is hosting major sporting challenges across sports and fitness. We heavily rely on Visual AI and ML. Entire team is comprised of IIT alumni. Students will get a lot of learning and handholding. Refer to our website for further details. https://www.khiladipro.com/team,Yes,Yes
